"shipment_contract_number","shipment","excerpt","shipment_description","fda_prior_notice","shipment_date","ledger_url","purchase_order_url","shipment_invoice_url","cargo_size","transaction_type","cacao_kg","shipment_status","capital_injection","total_revenue","investment_roi","Agroverse Shipments (Item)","contract_url","serialized","ID","Created Date","Updated Date","Owner","is_cacao_shipment","SunMint Serializations (Item)"
"AGL6","wix:image://v1/0e2cde_94ab590d418348b0927984a70c3a626f~mv2.jpeg/agl6_shipment_photo.jpeg#originWidth=739&originHeight=1600","10 bars of 500gram cacao mass 
125 bars of⁠ 40 gram cacao mass bars 
44 bags of ⁠⁠8 ounce cacao nibs kraft pouches","<p class=""font_8"">10 bars of 500gram cacao mass&nbsp;</p>
<p class=""font_8"">125 bars of⁠ 40 gram cacao mass bars&nbsp;</p>
<p class=""font_8"">44 bags of&nbsp;⁠⁠8 ounce cacao nibs kraft&nbsp;pouches</p>","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20241118_fda_prior_notice_24971136.pdf","2024-11-21","https://agroverse.shop/agl6",,"https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20241125_agl6_invoice.pdf","22 KG","Defi Pre-Purchase","28","SALES IN PROGRESS",,,,"/agroverse-shipments/agl6","https://github.com/TrueSightDAO/.github/blob/main/assets/20250402_agl8.pdf",true,"1176be3a-50e0-48f7-aee3-74d456be7efc",2024-11-25T15:29:28Z,2025-07-16T21:25:20Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl6"
"SEF1","wix:image://v1/0e2cde_1111b2934f3d479a94a0fd9685ea56cb~mv2.png/novagaia.png#originWidth=480&originHeight=480","Community for regenerative living and sacred commerce. Supports Amazon cacao tree planting, DAO governance, and Soul Tribe events. Join to co-create sustainability.","<p class=""font_8"">1-year membership to Stewards of NovaGaia Private Membership Association. Includes access to regenerative initiatives (cacao tree planting, carbon credits), DAO-style Member Assembly, sacred commerce tokens, Soul Tribe gatherings, and educational programs in permaculture and regenerative living. Annual dues: $111, renewable yearly, cancel anytime.</p>",,"2025-08-24","https://truesight.me/sunmint/sef1",,,,"Merchant Green Pledge",,"SALES IN PROGRESS",,,,"/agroverse-shipments/sef1",,true,"1f9e4dd2-f5ea-4f53-a920-7f0ac7ac8cd4",2025-08-24T16:06:59Z,2025-08-31T15:22:45Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/sunmint-tree-planting-pledges/sef1"
"AGL13","wix:image://v1/0e2cde_6a30a860d1814a589ac62eff2d29f26e~mv2.jpeg/vivi_farm_profile.jpeg#originWidth=1125&originHeight=1400","Discover 150kg of top-grade, organically grown cacao beans from Vivi's Farm in Jeribucuacu, near the pristine beaches of Bahia, Brazil. Sustainably produced using fish-based fertilizer, these premium beans support regenerative farming and empower local communities through TrueSight DAO’s equitable supply chain.","<p class=""font_8"">Agroverse is thrilled to announce a new batch of 150 kilograms of top-grade, organically grown cacao beans sourced from Vivi's Farm in Jeribucuacu, located near the stunning beaches of Bahia, Brazil. This farm employs innovative regenerative agroforestry practices, utilizing fish-based fertilizer to enrich the soil naturally, ensuring sustainable production and high-quality cacao. Through TrueSight DAO’s decentralized platform, this batch is financed via community-driven DeFi investments, guaranteeing fair prices for Vivi’s Farm and fostering environmentally friendly practices. By connecting these premium cacao beans to global markets, Agroverse eliminates middlemen, enhances transparency, and supports small-scale farmers in building a thriving, equitable supply chain. Join our movement to co-create a sustainable future and enjoy the rich, unique flavors of Bahia’s finest cacao.</p>",,"2025-09-13","https://agroverse.shop/agl13",,,"150 KG","Defi Pre-Purchase","150","MANUFACTURING",,,,"/agroverse-shipments/agl13","https://github.com/TrueSightDAO/notarizations/20250914134856_gary_teh_20250914___agl_13_export_trade_financing_syndicate_agreement___google_docs.pdf",true,"1fb58821-65dd-4001-937f-c60b1e977192",2025-09-14T13:06:43Z,2025-09-14T13:51:05Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl13"
"PP1","wix:image://v1/0e2cde_81d3d086b594492694241645a3c8e11a~mv2.jpg/pp_small.jpg#originWidth=648&originHeight=1044","10 unique Prism Percussions drums in 8"", 12"", 16"", or 20"" sizes with laser-etched designs, each with a QR code. ","<p class=""font_8"">Prism Percussions, based in Oregon, creates custom wooden drums in 8"", 12"", 16"", and 20"" sizes, with 4 or 6-sided designs, each producing distinct tones—deeper with larger sizes. No two drums are alike, featuring unique laser-etched patterns that celebrate artistry and individuality.</p>
<p class=""font_8""><br></p>
<p class=""font_8""><u><strong>Our Impact</strong></u><br>
In partnership with TrueSight DAO’s Sunmint initiative, Prism Percussions supports Amazonian farmers by funding cacao tree planting through sustainable agroforestry. This exclusive collection of 10 drums, each engraved with a unique QR code, connects you to this mission. Your purchase helps restore degraded rainforest lands, promote biodiversity, and empower indigenous communities with sustainable livelihoods. Scan the QR code to explore your drum’s story and its role in combating climate change.</p>
<p class=""font_8""><br></p>
<p class=""font_8""><u><strong>How It Works</strong></u></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Tree Financing</strong>: Your drum purchase funds cacao tree planting, supporting farmers in adopting cabruca agroforestry to restore the Amazon ecosystem.</p></li>
  <li><p class=""font_8""><strong>Carbon Credit Generation</strong>: Sunmint’s program generates carbon credits, sold to US companies, to sustain reforestation efforts and ensure scalability.</p></li>
  <li><p class=""font_8""><strong>Celebrating Your Support</strong>: As a thank-you, drum buyers receive a bag of high-quality cacao once the trees mature, connecting you directly to the farmers’ success.</p></li>
</ul>
<p class=""font_8""><br></p>
<p class=""font_8""><u><strong>Highlights</strong></u></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Rainforest Restoration</strong>: Supporting reforestation and agroforestry to heal degraded Amazon lands.</p></li>
  <li><p class=""font_8""><strong>Sustainable Craftsmanship</strong>: Handcrafted drums with unique designs, celebrating art and sustainability.</p></li>
  <li><p class=""font_8""><strong>Community Empowerment</strong>: Enabling economic opportunities for indigenous Amazonian farmers.</p></li>
  <li><p class=""font_8""><strong>Biodiversity Conservation</strong>: Promoting ecosystem health through sustainable cacao farming.</p></li>
  <li><p class=""font_8""><strong>Climate Impact</strong>: Contributing to carbon credit generation to mitigate climate change.</p></li>
</ul>",,"2025-07-29","https://truesight.me/sunmint/pp1",,,,"Merchant Green Pledge",,"SALES IN PROGRESS",,,,"/agroverse-shipments/pp1",,true,"2849473b-d97e-4b54-80ec-0a2de5c863c5",2025-07-17T20:06:57Z,2025-08-31T15:22:48Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/sunmint-tree-planting-pledges/pp1"
"AGL0","wix:image://v1/0e2cde_b51cb23521324f96b683aa231fd8190e~mv2.jpg/cooperative.jpg#originWidth=4032&originHeight=1938","5kg cacao nibs samples issued from Coopercabruca
Carried across border via hand luggage
","<p class=""font_8"">5kg cacao nibs samples issued from Coopercabruca</p>
<p class=""font_8"">Carried across border via hand luggage</p>
<p class=""font_8""><br></p>",,"2023-06-02",,,,"5 KG","Defi Pre-Purchase","6.5","COMPLETED",,,,"/agroverse-shipments/agl0",,,"546de275-dab8-4e08-9cca-7125e735cc03",2024-08-11T14:26:54Z,2025-07-16T21:25:12Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl0"
"AGL5","wix:image://v1/0e2cde_4498c69afa5e47398e28f4c92f23abd5~mv2.png/IMG_7664.HEIC#originWidth=3024&originHeight=4032","30 bottles of 250grams cacao molasses from Bahia Small Scale Farmers 
Commercial import via air freight

","<p class=""font_8"">30 bottles of 250grams cacao molasses from Bahia Small Scale Farmers&nbsp;</p>
<p class=""font_8"">Commercial import via air freight</p>
<p class=""font_8""><br></p>
<p class=""font_8""><br></p>","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/black_king/20240924_fda_prior_notice_30_bottles_cacao_molasses.pdf","2024-09-24","https://agroverse.shop/agl5",,"https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/black_king/20240924_invoice_for_30_bottles_cacao_molasses.pdf","9.5KG","Defi Pre-Purchase","37.5","COMPLETED",256.7,270,"8%","/agroverse-shipments/agl5","https://github.com/TrueSightDAO/.github/blob/main/assets/20240923_AGL_5_Export_trade_financing_syndicate_agreement.pdf",,"59302bdd-644b-498d-96ef-9b7d7acc7bac",2024-09-24T12:59:44Z,2025-07-16T21:25:19Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl5"
"AGL4","wix:image://v1/0e2cde_c93a78aae041438bb8c63c1da231d3c4~mv2.jpg/100kg_cabruca.jpg#originWidth=722&originHeight=760","300KG organic cacao nibs from Bahia Small Scale Farmers 
Commercial import via air freight

","<p class=""font_8"">300KG organic cacao nibs from Bahia Small Scale Farmers&nbsp;</p>
<p class=""font_8"">Commercial import via air freight</p>
<p class=""font_8""><br></p>
<p class=""font_8""><br></p>",,"2024-08-29","https://agroverse.shop/agl4",,,"300 KG","DAO financed","400","SALES IN PROGRESS",,,,"/agroverse-shipments/agl4","https://github.com/TrueSightDAO/.github/blob/main/assets/20240916_agl4_contract.pdf",true,"805c4f45-dc36-4e9e-ae99-ff78fd2d151d",2024-09-09T16:10:53Z,2025-07-16T21:25:18Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl4"
"AGL8","wix:image://v1/0e2cde_dc211b05614d4b3685238fb57d57ac15~mv2.jpeg/cepotx_shipment.jpeg#originWidth=901&originHeight=1600","330 kg of cacao almonds from Para Small Scale Farmers","<p class=""font_8"">330 kg of cacao almonds from Para Small Scale Farmers</p>",,"2025-04-07","https://agroverse.shop/agl8","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/cepotx/20240704_Purchase_Order_cepotx_100kg.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/cepotx/20250402_nota_fiscal_330_kg_cacao_almonds.pdf","330 KG","Defi Pre-Purchase","330","MANUFACTURING",,,,"/agroverse-shipments/agl8","https://github.com/TrueSightDAO/.github/blob/main/assets/20250402_agl8.pdf",true,"83fc9bea-09a7-4669-8871-70d434c8e90f",2025-04-04T16:51:39Z,2025-07-16T21:25:22Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl8"
"AGL1","wix:image://v1/0e2cde_d3ef1df8657043978fd0ca35b420b5d9~mv2.jpg/5A30F378-17F2-4520-B675-1A3FF5AF3FD6.JPG#originWidth=3024&originHeight=4032","5KG cacao nibs commercial import. 
Hand carried across border","<p class=""font_8"">5KG cacao nibs commercial import.&nbsp;</p>
<p class=""font_8"">Hand carried across border</p>","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20230920%20-%20FDA%20prior%20notice%20submissions.pdf","2023-09-30","https://agroverse.shop/agl1","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20230918%20-%20Purchase%20Order%20-%20Coopercabruca.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20230920%20-%20official%20INVOICE%20-%20AGROVERSE.pdf","5 KG","Defi Pre-Purchase","6.5","COMPLETED",105,123.75,"17.857%","/agroverse-shipments/agl1","https://github.com/TrueSightDAO/.github/blob/main/assets/20231002%20-%20Export%20trade%20financing%20syndicate%20agreement%20.pdf",,"8ca78804-32ab-474a-a526-8220967d8585",2024-08-11T14:35:01Z,2025-07-16T21:25:14Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl1"
"AGL3","wix:image://v1/0e2cde_09e673c4221f4c23a94267881ef13546~mv2.jpg/coming_soon.jpg#originWidth=602&originHeight=1038","
  25 kilogram of USDA/NOP Organic Cacao Almond
  250 bar of USDA/NOP Organic Cacao liquor - 20 grams bar
  250 bar of USDA/NOP Organic Cacao liquor - 40 grams bar
  125 bar of USDA/NOP Organic Cacao liquor - 80 grams bar
  10 bar of USDA/NOP Organic Cacao liquor - 1KG bar
  100 kilogram of USDA/NOP Organic Cacao nibs - loose
  1500 bags of USDA/NOP Organic  Cacao nibs - 8 ounce kraft pouch
  100 bottle of Cacao Molasses - 250 millitres

","<ul class=""font_8"">
  <li><p class=""font_8""><u><strong>25 kilogram</strong></u> of <em>USDA/NOP Organic Cacao Almond</em></p></li>
  <li><p class=""font_8""><u><strong>250 bar</strong></u><strong> </strong>of <em>USDA/NOP Organic Cacao liquor - 20 grams bar</em></p></li>
  <li><p class=""font_8""><u><strong>250 bar</strong></u> of <em>USDA/NOP Organic Cacao liquor - 40 grams bar</em></p></li>
  <li><p class=""font_8""><u><strong>125 bar</strong></u> of <em>USDA/NOP Organic Cacao liquor - 80 grams bar</em></p></li>
  <li><p class=""font_8""><u>10 bar</u> of <em>USDA/NOP Organic Cacao liquor - 1KG bar</em></p></li>
  <li><p class=""font_8""><u>100 kilogram</u> of <em>USDA/NOP Organic Cacao nibs - loose</em></p></li>
  <li><p class=""font_8""><u>1500 bags</u> of <em>USDA/NOP Organic &nbsp;Cacao nibs - 8 ounce kraft pouch</em></p></li>
  <li><p class=""font_8""><u>100 bottle</u> of <em>Cacao Molasses - 250 millitres</em></p></li>
</ul>
<p class=""font_8""><br></p>",,,"https://agroverse.shop/agl3","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20240805%20-%20Purchase%20Order%20-%20Coopercabruca.pdf",,"525 KG","Defi Pre-Purchase","525","SUSPENDED",,,,"/agroverse-shipments/agl3",,,"946baf2e-268d-4e65-850d-c467a8eac75a",2024-08-11T14:40:07Z,2025-07-16T21:25:16Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl3"
"AGL10","wix:image://v1/0e2cde_b3ce86497cc647bdb4ff18f704b0b2cd~mv2.jpeg/WhatsApp%20Image%202025-06-25%20at%2017.33.17.jpeg#originWidth=720&originHeight=1280","5kg caramelized cacao beans from Capela Velha Fazenda, a women owned regenerative organic cacao farm
","<p class=""font_8"">5kg caramelized cacao beans from Capela Velha Fazenda, a women owned regenerative organic cacao farm</p>
<p class=""font_8""><br></p>","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/black_king/20250623_fda_prior_notice_20kg_ceremonial_cacao_5kg_caramelized_cacao.pdf","2025-06-26","https://agroverse.shop/agl10","https://github.com/TrueSightDAO/.github/blob/main/assets/20250617_payment_for_5kg_caramelized_cacao.jpeg","https://github.com/TrueSightDAO/.github/blob/main/assets/20250626_correios_receipt_3.jpeg","5 KG","DAO financed","5","SALES IN PROGRESS",,,,"/agroverse-shipments/agl10","https://github.com/TrueSightDAO/.github/blob/main/assets/20250627_agl10.pdf",true,"96225451-b141-4013-9b70-190b5f228612",2025-06-27T20:22:42Z,2025-07-16T21:25:24Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl10"
"AGL14","wix:image://v1/0e2cde_a8440e63975a48e4ae3aa8c815b41bae~mv2.png/IMG_2173.HEIC#originWidth=4032&originHeight=3024","In the heart of Bahia's ancient groves, where 70-year-old native cacao trees whisper secrets of the earth, Oscar Fazenda delivers 40kg of Harvest 2025's finest—a creamy elixir of luxurious dark chocolate allure, bridging Brazil's wild heritage with Europe's refined elegance.","<p class=""font_8"">Sourced exclusively from Oscar Fazenda in Brazil's vibrant Bahia region, this 40-kilogram shipment captures the essence of Harvest 2025. Nurtured by trees over 70 years old—venerable guardians of the land—these beans hail from rare native varieties, untouched by modern hybridization. Each pod bursts with a profoundly rich, velvety creaminess, unfolding into a sophisticated taste profile reminiscent of premium European dark chocolate: deep cocoa notes laced with subtle fruit undertones and a lingering, indulgent finish.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Perfect for artisan chocolatiers, craft bean-to-bar makers, or connoisseurs seeking authenticity in the Agroverse, this cacao embodies sustainable luxury—harvested with reverence for the ecosystem that birthed it. Limited availability; trace its journey from Bahia's sun-drenched soil to your creations via Truesight's blockchain transparency. Elevate your palate with a piece of living history.</p>",,"2025-09-20","https://agroverse.shop/agl14","https://github.com/TrueSightDAO/.github/tree/main/assets/expense_20250921150058_gary_teh_image.png","https://github.com/TrueSightDAO/.github/tree/main/assets/expense_20250921150058_gary_teh_image.png","40 KG","DAO financed","40","MANUFACTURING",,,,"/agroverse-shipments/agl14",,true,"9f2ddf0c-ad86-4825-8d6a-f3398dfa5aba",2025-09-21T15:17:59Z,2025-09-21T15:36:31Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl14"
"AGL2","wix:image://v1/0e2cde_1bbf2d5f2ea745c48277cd03c3ca205c~mv2.jpg/7881A5FD-6206-450E-9126-36209EC3B96F.JPG#originWidth=3024&originHeight=4032","100KG organic cacao nibs from Coopercabruca
Commercial import via air freight
","<p class=""font_8"">100KG organic cacao nibs from Coopercabruca</p>
<p class=""font_8"">Commercial import via air freight</p>
<p class=""font_8""><br></p>","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20231118_100KG_fda_web_entry.pdf","2023-11-17","https://agroverse.shop/agl2","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20231009%20-%20Purchase%20Order%20-%20Coopercabruca.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20231103-Coopercabruca_shipment_invoice.pdf","100 KG","Defi Pre-Purchase","128","COMPLETED",2949.77,2811.45,"'-4.689%","/agroverse-shipments/agl2","https://github.com/TrueSightDAO/.github/blob/main/assets/20231118_export_trade_financing%20syndicate_agreement_shipment_agl2.pdf",,"a75a76b3-d6a9-4321-8337-2477ad4931d7",2024-08-11T14:40:00Z,2025-07-16T21:25:15Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl2"
"AGL7","wix:image://v1/0e2cde_dce9ec67ff4e4e39a8ad854442e38630~mv2.gif/20250313_20_bottles_cacao_molasses.gif#originWidth=200&originHeight=360","20 bottles of 250grams cacao molasses from Bahia Small Scale Farmers","<p class=""font_8"">20 bottles of 250grams cacao molasses from Bahia Small Scale Farmers</p>","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/black_king/20250309_fda_prior_notice_20_bottles_of_cacao_molasses.pdf",,"https://agroverse.shop/agl7",,,,"DAO financed","25","FREIGHTING IN PROGRESS",,,,"/agroverse-shipments/agl7",,,"bec3fc08-2840-4197-8a9d-fe286284a392",2025-03-15T22:44:44Z,2025-07-16T21:25:21Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",true,"/sunmint-tree-planting-pledges/agl7"
