Old URL,New URL,Redirect Type,Redirect Status,Notes
/dao,/submit-contribution,Single Redirect,Active,
/recurring-cost,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=33812003#gid=33812003,Single Redirect,Active,
/offchain-assets,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit#gid=2083442561,Single Redirect,Active,
/digital-signatures,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=577022511#gid=577022511,Single Redirect,Active,
/roadmap,https://docs.google.com/drawings/d/1u3JG_KJtbRl5-NQaji0KasmTm7TUDlCzevA132kiApg/edit?usp=sharing,Single Redirect,Active,
/ttl,https://docs.google.com/spreadsheets/d/1r81szaHBREdIImVIxqpxz5cueSWQBw_E0PxptiLsPd0/edit?ouid=115975718038592349436&usp=drive_web,Single Redirect,Active,
/notarizations,https://docs.google.com/spreadsheets/d/1qbZZhf-_7xzmDTriaJVWj6OZshyQsFkdsAV8-pyzASQ/edit?gid=520413576#gid=520413576,Single Redirect,Active,
/contribute-expenses,https://app.dework.xyz/truesight-dao-31019/main-space-32606?taskId=08960266-1664-42fd-820a-c78898b14aab,Single Redirect,Active,
/currencies,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1552160318#gid=1552160318,Single Redirect,Active,
/whitepaper,https://docs.google.com/document/d/1P-IJq71N0lXszUOdqdjrGwonZAfEuG1q_tJFDdKKIic/edit,Single Redirect,Active,
/townhall,https://chat.whatsapp.com/JimJQTHeV3d8S3teypfYYo,Single Redirect,Active,
/physical-asset-transactions,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=995916231#gid=995916231,Single Redirect,Active,
/outstanding-airdrops,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit#gid=1569170936,Single Redirect,Active,
/digital-assets,https://app.realms.today/dao/2yH36PrWii3RthpHtdJVYaPgBzfcSLe7oevvGRavrut7,Single Redirect,Active,
/edgar/whitepaper,https://docs.google.com/document/d/1Ud19BdIKrg_2SvVYEfS2fxCFCwFGwuccqOD9z53k-oc/edit?tab=t.0,Single Redirect,Active,
/physical-assets/serialized,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=472328231#gid=472328231,Single Redirect,Active,
/sunmint/pp1,https://docs.google.com/spreadsheets/d/1vzo_2QF42nCMjt6aeZ2D7tuucgRHike4Ws_pebJxGik/edit?gid=129566210#gid=129566210,Single Redirect,Active,
/agroverse/whitepaper,https://docs.google.com/document/d/1b3JiawnqA1QNpA_XZMH6oNQ9ZVJnLRGtOWzM31YLvJs/edit?ouid=115975718038592349436&usp=drive_web,Single Redirect,Active,
/submissions/raw-telegram-chatlogs,https://docs.google.com/spreadsheets/d/1qbZZhf-_7xzmDTriaJVWj6OZshyQsFkdsAV8-pyzASQ/edit?gid=0#gid=0,Single Redirect,Active,
/physical-transactions/expenses,https://docs.google.com/spreadsheets/d/15co4NYVdlhOFK7y2EfyajXJ0aSj7OfezUndYoY6BNrY/edit?gid=0#gid=0,Single Redirect,Active,
/sunmint/trees-registry,https://docs.google.com/spreadsheets/d/1qbZZhf-_7xzmDTriaJVWj6OZshyQsFkdsAV8-pyzASQ/edit?gid=176124122#gid=176124122,Single Redirect,Active,
/beerhall,https://chat.whatsapp.com/G9oIJWtQc0k550VZvyl5ye,Single Redirect,Active,
/sunmint/farms-registry,https://docs.google.com/spreadsheets/d/1qbZZhf-_7xzmDTriaJVWj6OZshyQsFkdsAV8-pyzASQ/edit?gid=2011737890#gid=2011737890,Single Redirect,Active,
/general-clean,/faq,Single Redirect,Active,
/vault,https://app.realms.today/dao/2yH36PrWii3RthpHtdJVYaPgBzfcSLe7oevvGRavrut7,Single Redirect,Active,
/tokenholders,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit#gid=950541536,Single Redirect,Active,
/tokenomics,https://github.com/TrueSightDAO/tokenomics,Single Redirect,Active,
/physical-assets,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=2083442561#gid=2083442561,Single Redirect,Active,
/rubric,https://docs.google.com/spreadsheets/d/1s4mnUFMhR37AElVBDGQ653pJ5ODp4bcr2N8eMLpMuxw/edit#gid=0,Single Redirect,Active,
/submissions/scored-and-to-be-tokenized,https://docs.google.com/spreadsheets/d/1Tbj7H5ur_egQLRugdXUaSIhEYIKp0vvVv2IZ7WTLCUo/edit?gid=0#gid=0,Single Redirect,Active,
/sunmint/sef1,https://docs.google.com/spreadsheets/d/1KDGSrveZWj635aEDMUyVagTA_y_TVjeQbqlQF-GQq5g/edit?gid=129566210#gid=129566210,Single Redirect,Active,
/exchange,https://latoken.com/exchange/TDG_USDT,Single Redirect,Active,
/gas-fee,https://docs.google.com/forms/d/e/1FAIpQLSd_PViNBWdAeMyD06fd2e4UmAHMTO6ydw6JqtLshmSX53eveA/viewform?usp=sf_link,Single Redirect,Active,
/sunmint/whitepaper,https://docs.google.com/document/d/1BcrV4rtG5cNTdcycw2H94OI-pmT-dDal3x5jPcyvWC0/edit?tab=t.0,Single Redirect,Active,
/contribute,https://app.dework.xyz/truesight-dao-31019,Single Redirect,Active,
/bounty,https://app.dework.xyz/truesight-dao-31019,Single Redirect,Active,
/dapp,https://dapp.truesight.me,Single Redirect,Active,
/recurring-tdg-awards,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=0#gid=0,Single Redirect,Active,
/quests/join,https://trello.com/invite/b/6835f79b6e99af69da284fd7/ATTIe8d570ecf44a8ab60adb3dce899a94ab85082E7D/truesight-dao,Single Redirect,Active,
/general-assembly,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit#gid=1753298904,Single Redirect,Active,
/search-results,/search,Single Redirect,Active,
/members-directory,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1460794618#gid=1460794618,Single Redirect,Active,
/physical-transactions,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=995916231#gid=995916231,Single Redirect,Active,
/contribute-effort,https://app.dework.xyz/truesight-dao-31019?taskId=b3b9fadc-e56d-43c9-baeb-099772da561a,Single Redirect,Active,
/submissions/raw-whatsapp-chat-logs,https://drive.google.com/drive/u/0/folders/1X8fGb-kzf5WIjrsd1uO8seXnHZZkiitk,Single Redirect,Active,
/offchain-balance,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit#gid=995916231,Single Redirect,Active,
/tokenholder-wallets,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1460794618#gid=1460794618,Single Redirect,Active,
/proposals,https://app.realms.today/dao/2yH36PrWii3RthpHtdJVYaPgBzfcSLe7oevvGRavrut7,Single Redirect,Active,
/physical-assets/serialized/sold,https://docs.google.com/spreadsheets/d/1qbZZhf-_7xzmDTriaJVWj6OZshyQsFkdsAV8-pyzASQ/edit?gid=1003674539#gid=1003674539,Single Redirect,Active,
/physical-asset-movements,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1888711771#gid=1888711771,Single Redirect,Active,
/physical-asset-locations,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1487841772#gid=1487841772,Single Redirect,Active,
/governors,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=842148543#gid=842148543,Single Redirect,Active,
/quests,https://trello.com/b/8VG6IfzF/truesight-dao,Single Redirect,Active,
/ledger,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit#gid=0,Single Redirect,Active,
/offchain-asset-location,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1487841772#gid=1487841772,Single Redirect,Active,