"shipment_contract_number","shipment_date","shipment","ledger_url","shipment_status","shipment_description","fda_prior_notice","shipment_invoice_url","purchase_order_url","cargo_size","transaction_type","cacao_kg","investment_roi","capital_injection","total_revenue","Agroverse Shipments (Item)","contract_url","video_reel","Shipments (Item)","truesight_dao_shipment_url","trees_to_be_planted","google_map_image","google_map_url","ID","Created Date","Updated Date","Owner","lab_report","Shipments (Item)"
"AGL9",2025-05-18T19:00:00Z,"wix:image://v1/0e2cde_25f2f43f92834e3588db90603bfd2b80~mv2.jpeg/20250521_prevent_landfill.jpeg#originWidth=1536&originHeight=2048",,"SALES IN PROGRESS","Five refilled propane tanks, picked up from the Okanagan Family Fair, where they were set to be discarded. Ready for use and a great way to repurpose!",,,,,"DAO financed",,,,,,,"wix:video://v1/0e2cde_538296ecd88f452abb6e0f9af72cb5da/20250518_sorting_trash.mp4#posterUri=0e2cde_538296ecd88f452abb6e0f9af72cb5daf000.jpg&posterWidth=480&posterHeight=848","/shipments/agl9",,"0",,,"04d244de-f7cd-40b5-b154-4aa45c5a43fc",2025-05-21T21:16:04Z,2025-07-24T19:46:22Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL6",2024-11-21T00:00:00Z,"wix:image://v1/0e2cde_94ab590d418348b0927984a70c3a626f~mv2.jpeg/agl6_shipment_photo.jpeg#originWidth=739&originHeight=1600","https://agroverse.shop/agl6","SALES IN PROGRESS","Discover a premium selection of cacao products from São Jorge Farm in Itabuna, Bahia, Brazil—crafted through regenerative cabruca agroforestry under the Atlantic Rainforest canopy for sustainable, terroir-driven depth.

These are blend of Trinitario, Forastero, and Criolla beans, fermented for 7 days and sun-dried, yield a complex flavor profile emphasizing nutty richness as the star: roasted almonds and hazelnuts with smooth, mild astringency. Layered beneath are chocolaty and woody notes of dark oak, dried fruits and caramelized sweetness like raisins and panela, bright tropical fruits and citrus accents of pineapple and zest, and elegant floral and fruity acidity with jasmine and green banana for a lingering, clean finish.

What's Included:

10 × 500g bars of cacao mass
125 × 40g bars of cacao mass
44 × 8oz kraft pouches of cacao nibs

Ideal for artisanal chocolatiers, home bakers, and sustainability enthusiasts seeking bold, eco-friendly indulgence with authentic Bahia terroir.","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20241118_fda_prior_notice_24971136.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20241125_agl6_invoice.pdf",,"22 KG","Defi Pre-Purchase",28,,,,"https://truesight.me/agroverse-shipments/agl6","https://github.com/TrueSightDAO/.github/blob/main/assets/20250402_agl8.pdf","wix:video://v1/0e2cde_dd0c4385bcae4604a6f900a52ba5d58f/Sao%20Jorge_Full%20HD%201080p.MP4#posterUri=0e2cde_dd0c4385bcae4604a6f900a52ba5d58ff000.jpg&posterWidth=1080&posterHeight=1920","/shipments/agl6","https://www.truesight.me/agroverse-shipments/agl6","30","wix:image://v1/0e2cde_6d1109a42a2948898f635b236393ca09~mv2.jpg/sao_jorge.jpg#originWidth=1620&originHeight=1234","https://www.google.com/maps/place/Fazenda+S%C3%A3o+Jorge/@-15.5466282,-65.2172061,3.94z/data=!4m6!3m5!1s0x738fda0117584df:0xbf46b82f369097e9!8m2!3d-14.6289989!4d-39.4028297!16s%2Fg%2F11j8q1c8d7!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D","1176be3a-50e0-48f7-aee3-74d456be7efc",2025-04-30T22:41:14Z,2025-10-19T18:50:12Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL0",2023-06-02T00:00:00Z,"wix:image://v1/0e2cde_b51cb23521324f96b683aa231fd8190e~mv2.jpg/cooperative.jpg#originWidth=4032&originHeight=1938",,"COMPLETED","5kg cacao nibs samples issued from Coopercabruca
Carried across border via hand luggage
",,,,"5 KG","Defi Pre-Purchase",6.5,,,,"https://truesight.me/agroverse-shipments/agl0",,,"/shipments/agl0",,,,,"546de275-dab8-4e08-9cca-7125e735cc03",2025-04-30T22:41:14Z,2025-07-24T19:46:22Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL5",2024-09-24T00:00:00Z,"wix:image://v1/0e2cde_4498c69afa5e47398e28f4c92f23abd5~mv2.png/IMG_7664.HEIC#originWidth=3024&originHeight=4032","https://agroverse.shop/agl5","COMPLETED","30 bottles of 250grams cacao molasses from Bahia Small Scale Farmers 
Commercial import via air freight

","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/black_king/20240924_fda_prior_notice_30_bottles_cacao_molasses.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/black_king/20240924_invoice_for_30_bottles_cacao_molasses.pdf",,"9.5KG","Defi Pre-Purchase",37.5,"8%","256.7","270","https://truesight.me/agroverse-shipments/agl5","https://github.com/TrueSightDAO/.github/blob/main/assets/20240923_AGL_5_Export_trade_financing_syndicate_agreement.pdf",,"/shipments/agl5",,,,,"59302bdd-644b-498d-96ef-9b7d7acc7bac",2025-04-30T22:41:14Z,2025-07-24T19:46:22Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL4",2024-08-29T00:00:00Z,"wix:image://v1/0e2cde_c93a78aae041438bb8c63c1da231d3c4~mv2.jpg/100kg_cabruca.jpg#originWidth=722&originHeight=760","https://agroverse.shop/agl4","SALES IN PROGRESS","300KG organic cacao nibs from Bahia Small Scale Farmers 
Commercial import via air freight",,,,"300 KG","DAO financed",400,,,,"https://truesight.me/agroverse-shipments/agl4","https://github.com/TrueSightDAO/.github/blob/main/assets/20240916_agl4_contract.pdf","wix:video://v1/0e2cde_116fa4a7cbcd43d3aee572acf869961a/Oscar%20fazenda_Full%20HD%201080p.MP4#posterUri=0e2cde_116fa4a7cbcd43d3aee572acf869961af000.jpg&posterWidth=1080&posterHeight=1920","/shipments/agl4","https://www.truesight.me/agroverse-shipments/agl4","54","wix:image://v1/0e2cde_517f014592f948a3941c5a4f0daaa544~mv2.jpg/carla.jpg#originWidth=1562&originHeight=1140","https://www.google.com/maps/place/14%C2%B027'49.3%22S+39%C2%B007'56.1%22W/@-33.3837125,-105.1869744,3z/data=!4m13!1m8!3m7!1s0x739106c675ce9bb:0x795150bef2cd194d!2sLagoa+Encantada,+Ilh%C3%A9us+-+State+of+Bahia,+Brazil!3b1!8m2!3d-14.6207075!4d-39.1397344!16s%2Fg%2F1q5hrc_bh!3m3!8m2!3d-14.4636944!4d-39.13225!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D","805c4f45-dc36-4e9e-ae99-ff78fd2d151d",2025-04-30T22:41:14Z,2025-07-25T20:22:19Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e","https://github.com/TrueSightDAO/notarizations/20250714215834_gary_teh_oscar_lab_report.pdf","/thanks/"
"AGL8",2025-04-07T00:00:00Z,"wix:image://v1/0e2cde_dc211b05614d4b3685238fb57d57ac15~mv2.jpeg/cepotx_shipment.jpeg#originWidth=901&originHeight=1600","https://agroverse.shop/agl8","MANUFACTURING","330 kg of cacao almonds from Para Small Scale Farmers",,"https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/cepotx/20250402_nota_fiscal_330_kg_cacao_almonds.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/cepotx/20240704_Purchase_Order_cepotx_100kg.pdf","330 KG","Defi Pre-Purchase",330,,,,"https://truesight.me/agroverse-shipments/agl8","https://github.com/TrueSightDAO/.github/blob/main/assets/20250402_agl8.pdf","wix:video://v1/0e2cde_b4eb685591d740e8a200556db4b418bc/paulo%20farm_Full%20HD%201080p.MP4#posterUri=0e2cde_b4eb685591d740e8a200556db4b418bcf000.jpg&posterWidth=1080&posterHeight=1920","/shipments/agl8","https://www.truesight.me/agroverse-shipments/agl8","0","wix:image://v1/0e2cde_f42ab65f543b4bee8a9ee623df9831ca~mv2.jpg/paulo.jpg#originWidth=1576&originHeight=1060","https://www.google.com/maps/place/3%C2%B023'32.0%22S+51%C2%B051'09.1%22W/@-29.3170975,-101.1799934,3z/data=!4m4!3m3!8m2!3d-3.3922222!4d-51.8525278!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D","83fc9bea-09a7-4669-8871-70d434c8e90f",2025-04-30T22:41:14Z,2025-07-25T20:07:42Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e","https://github.com/TrueSightDAO/notarizations/20250714215751_gary_teh_para_lab_report.pdf","/thanks/"
"AGL1",2023-09-30T00:00:00Z,"wix:image://v1/0e2cde_d3ef1df8657043978fd0ca35b420b5d9~mv2.jpg/5A30F378-17F2-4520-B675-1A3FF5AF3FD6.JPG#originWidth=3024&originHeight=4032","https://agroverse.shop/agl1","COMPLETED","5KG cacao nibs commercial import. 
Hand carried across border","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20230920%20-%20FDA%20prior%20notice%20submissions.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20230920%20-%20official%20INVOICE%20-%20AGROVERSE.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20230918%20-%20Purchase%20Order%20-%20Coopercabruca.pdf","5 KG","Defi Pre-Purchase",6.5,"17.857%","105","123.75","https://truesight.me/agroverse-shipments/agl1","https://github.com/TrueSightDAO/.github/blob/main/assets/20231002%20-%20Export%20trade%20financing%20syndicate%20agreement%20.pdf",,"/shipments/agl1",,,,,"8ca78804-32ab-474a-a526-8220967d8585",2025-04-30T22:41:14Z,2025-07-24T19:46:22Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL3",,"wix:image://v1/0e2cde_09e673c4221f4c23a94267881ef13546~mv2.jpg/coming_soon.jpg#originWidth=602&originHeight=1038","https://agroverse.shop/agl3","SUSPENDED","25 kilogram of USDA/NOP Organic Cacao Almond
250 bar of USDA/NOP Organic Cacao liquor - 20 grams bar
250 bar of USDA/NOP Organic Cacao liquor - 40 grams bar
125 bar of USDA/NOP Organic Cacao liquor - 80 grams bar
10 bar of USDA/NOP Organic Cacao liquor - 1KG bar
100 kilogram of USDA/NOP Organic Cacao nibs - loose
1500 bags of USDA/NOP Organic  Cacao nibs - 8 ounce kraft pouch
100 bottle of Cacao Molasses - 250 millitres
",,,"https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20240805%20-%20Purchase%20Order%20-%20Coopercabruca.pdf","525 KG","Defi Pre-Purchase",525,,,,"https://truesight.me/agroverse-shipments/agl3",,,"/shipments/agl3",,,,,"946baf2e-268d-4e65-850d-c467a8eac75a",2025-04-30T22:41:14Z,2025-07-24T19:46:22Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL2",2023-11-17T00:00:00Z,"wix:image://v1/0e2cde_1bbf2d5f2ea745c48277cd03c3ca205c~mv2.jpg/7881A5FD-6206-450E-9126-36209EC3B96F.JPG#originWidth=3024&originHeight=4032","https://agroverse.shop/agl2","COMPLETED","100KG organic cacao nibs from Coopercabruca
Commercial import via air freight
","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20231118_100KG_fda_web_entry.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20231103-Coopercabruca_shipment_invoice.pdf","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/coopercabruca/20231009%20-%20Purchase%20Order%20-%20Coopercabruca.pdf","100 KG","Defi Pre-Purchase",128,"'-4.689%","2949.77","2811.45","https://truesight.me/agroverse-shipments/agl2","https://github.com/TrueSightDAO/.github/blob/main/assets/20231118_export_trade_financing%20syndicate_agreement_shipment_agl2.pdf",,"/shipments/agl2",,,,,"a75a76b3-d6a9-4321-8337-2477ad4931d7",2025-04-30T22:41:14Z,2025-07-24T19:46:22Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL13",2025-09-13T15:00:00Z,"wix:image://v1/0e2cde_8091c2b5153a467e902058676539528b~mv2.jpeg/vivi_farm_profile.jpeg#originWidth=1125&originHeight=1400","https://agroverse.shop/agl13","MANUFACTURING","Nestled near the sun-kissed beaches of Jeribucuacu in Bahia, Brazil, Vivi's Farm crafts top-grade cacao beans with love and sustainability. Using fish-based fertilizer, this regenerative agroforestry haven nurtures the land while producing rich, organic cacao. Through TrueSight DAO’s equitable network, your purchase empowers Vivi’s community, ensuring fair prices and a thriving ecosystem. Savor the flavor of Bahia’s finest, grown with care and connected to you through Agroverse’s transparent supply chain.",,,,"150 KG","Defi Pre-Purchase",150,,,,"https://truesight.me/agroverse-shipments/agl13","https://github.com/TrueSightDAO/notarizations/20250914134856_gary_teh_20250914___agl_13_export_trade_financing_syndicate_agreement___google_docs.pdf",,"/shipments/agl13","https://www.truesight.me/agroverse-shipments/agl13","0","wix:image://v1/0e2cde_f6f44b4c28a940439c2526668476a590~mv2.png/vivi_farm_location.png#originWidth=674&originHeight=792","https://maps.app.goo.gl/Z3MPXqNa7idnKAno7","b082f700-e950-45dd-9637-de56b8ebda13",2025-09-14T13:22:32Z,2025-09-14T13:50:54Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL7",,"wix:image://v1/0e2cde_dce9ec67ff4e4e39a8ad854442e38630~mv2.gif/20250313_20_bottles_cacao_molasses.gif#originWidth=200&originHeight=360","https://agroverse.shop/agl7","SALES IN PROGRESS","20 bottles of 250grams cacao molasses from Bahia Small Scale Farmers","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/black_king/20250309_fda_prior_notice_20_bottles_of_cacao_molasses.pdf",,,,"DAO financed",25,,,,"https://truesight.me/agroverse-shipments/agl7",,,"/shipments/agl7",,,,,"bec3fc08-2840-4197-8a9d-fe286284a392",2025-04-30T22:41:14Z,2025-07-24T19:46:22Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL10",2025-06-26T19:00:00Z,"wix:image://v1/0e2cde_c0ed83ef82cc48e89d34df0fdf2ab8c2~mv2.jpeg/WhatsApp%20Image%202025-06-25%20at%2017.33.17.jpeg#originWidth=720&originHeight=1280","https://agroverse.shop/agl10","FREIGHTING IN PROGRESS","5KG caramelized cacao beans from Capela Velha Fazenda, a women owned regenerative organic cacao farm","https://github.com/TrueSightDAO/fda_fsvp/blob/main/suppliers/black_king/20250623_fda_prior_notice_20kg_ceremonial_cacao_5kg_caramelized_cacao.pdf","https://github.com/TrueSightDAO/.github/blob/main/assets/20250626_correios_receipt_3.jpeg","https://github.com/TrueSightDAO/.github/blob/main/assets/20250617_payment_for_5kg_caramelized_cacao.jpeg","5 KG","DAO financed",5,,,,"https://truesight.me/agroverse-shipments/agl10","https://github.com/TrueSightDAO/.github/blob/main/assets/20250627_agl10.pdf","wix:video://v1/0e2cde_39f289adc0784ff7878544c3f43c59c7/caramelized_cacao_bean.mp4#posterUri=0e2cde_39f289adc0784ff7878544c3f43c59c7f000.jpg&posterWidth=478&posterHeight=850","/shipments/agl10","https://www.truesight.me/agroverse-shipments/agl10","0","wix:image://v1/0e2cde_288bea1735ea406fa50213067b73d668~mv2.jpg/Fazenda_Capela_Velha.jpg#originWidth=2652&originHeight=1510","https://maps.app.goo.gl/RqMe3SCEhtEWSpH46","cb4f8f98-fb0b-4af5-8178-b44b379a8216",2025-06-27T20:10:13Z,2025-07-25T20:21:19Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
"AGL14",2025-09-20T15:00:00Z,"wix:image://v1/0e2cde_223443a5c5834e9d93b4f57e3e7cd201~mv2.png/fermentation.png#originWidth=1130&originHeight=1306","https://agroverse.shop/agl14","MANUFACTURING","From the sun-kissed groves of Oscar Fazenda in Bahia, Brazil, arrives a exquisite shipment of 40 kilograms of cacao from the bountiful Harvest 2025. Harvested from ancient trees, each over 70 years old and bearing rare native varieties, these beans yield a velvety, rich profile—creamy and indulgent, evoking the sophisticated depth of luxurious European dark chocolate. A timeless treasure from the Agroverse.",,"https://github.com/TrueSightDAO/.github/tree/main/assets/expense_20250921150058_gary_teh_image.png","https://github.com/TrueSightDAO/.github/tree/main/assets/expense_20250921150058_gary_teh_image.png","40 KG","DAO financed",40,,"456.49",,"https://truesight.me/agroverse-shipments/agl14",,,"/shipments/agl14","https://www.truesight.me/agroverse-shipments/agl14",,"wix:image://v1/0e2cde_ff40cc3ed6db41c79e090d1ea39e44c1~mv2.png/oscar_fazenda.png#originWidth=876&originHeight=1066","https://maps.app.goo.gl/SAcMGrT1489ga3Ym7","e2cbee18-4998-4a15-88ba-ea00420e8e1a",2025-09-21T14:56:19Z,2025-09-21T15:31:03Z,"0e2cde5f-b353-468b-9f4e-36835fc60a0e",,"/thanks/"
